year,name,sumrelig,pop,religions,relpop
1990,FRN,56722211,56735000,chrstgen,44618413
1995,FRN,58058095,58139000,chrstgen,43939194
2000,FRN,59039546,59080000,chrstgen,42875006
2005,FRN,60113252,60996000,chrstgen,42399613
2010,FRN,62502544,62722560,chrstgen,44023361
1995,MNC,31998,32000,chrstgen,29105
2000,MNC,32447,32883,chrstgen,28250
2005,MNC,32014,32100,chrstgen,27399
2010,MNC,31584,33105,chrstgen,26550
1990,LIE,28700,29000,chrstgen,27120
1995,LIE,30850,31000,chrstgen,28428
2000,LIE,31921,33000,chrstgen,29285
2005,LIE,33238,35000,chrstgen,30158
2010,LIE,35142,35760,chrstgen,31031
1945,SWZ,4411926,4412000,chrstgen,4381213
1950,SWZ,4693569,4694000,chrstgen,4662971
1955,SWZ,4979956,4980000,chrstgen,4936833
1960,SWZ,5359916,5362000,chrstgen,5308380
1965,SWZ,5808522,5856000,chrstgen,5729956
1970,SWZ,6264346,6267000,chrstgen,6151533
1975,SWZ,6404996,6405000,chrstgen,6279141
1980,SWZ,6303800,6319000,chrstgen,5979500
1985,SWZ,6466400,6470000,chrstgen,6020800
1990,SWZ,6747630,6750000,chrstgen,6064100
1995,SWZ,7025891,7041000,chrstgen,6091621
2000,SWZ,7304156,7386000,chrstgen,6119143
2005,SWZ,7405624,7437000,chrstgen,6408536
2010,SWZ,7747297,7825122,chrstgen,6303993
1945,SPN,26373253,26800000,chrstgen,26316757
1950,SPN,27988360,28009000,chrstgen,27866921
1955,SPN,29164992,29199000,chrstgen,28880553
1960,SPN,30452559,30455000,chrstgen,30029122
1965,SPN,32055928,32056000,chrstgen,31510692
1970,SPN,33766218,33779000,chrstgen,33118261
1975,SPN,35583748,35596000,chrstgen,34819831
1980,SPN,37537579,37542000,chrstgen,36748102
1985,SPN,38464541,38474000,chrstgen,37216775
1990,SPN,38955805,38959000,chrstgen,37464150
1995,SPN,39209236,39210000,chrstgen,37249500
2000,SPN,39567750,39630000,chrstgen,34100000
2005,SPN,43382730,43398000,chrstgen,36380000
2010,SPN,45915968,46076496,chrstgen,37121529
1995,AND,67990,68000,chrstgen,62680
2000,AND,77934,78000,chrstgen,72946
2005,AND,78945,79000,chrstgen,74445
2010,AND,85422,85500,chrstgen,77546
1945,POR,8049923,8050000,chrstgen,7985663
1950,POR,8404860,8405000,chrstgen,8301840
1955,POR,8609743,8610000,chrstgen,8493771
1960,POR,8888829,8943000,chrstgen,8739903
1965,POR,8965073,9129000,chrstgen,8730983
1970,POR,9043999,9044000,chrstgen,8722040
1975,POR,9084802,9093000,chrstgen,8714810
1980,POR,9755536,9766000,chrstgen,9335680
1985,POR,9994392,10011000,chrstgen,9525108
1990,POR,9832217,9899000,chrstgen,9344537
1995,POR,9898440,9916000,chrstgen,9263964
2000,POR,8903718,9875000,chrstgen,8437963
2005,POR,9462752,10549000,chrstgen,8780641
2010,POR,10021789,10642505,chrstgen,9123319
1945,GMY,88345460,89697000,chrstgen,86109120
